Sr. No.,Work Category,Work ID,Work Type,Work Description,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Has Image,Completion Date,Amount Disbursed (INR)
5424,Normal/Others,WS/MP18380/2024-2025/151907,Lighting of public spaces,Gram Sabha Guwali me Rajnath Gaud ke ghar ke pas,Uttar Pradesh,BHADOHI,DISTRICT MAGISTRATE BHADOHI,VINOD KUMAR BIND,BHADOHI,True,2026-01-09,118971.0
5425,Normal/Others,WS/MP18380/2024-2025/151906,Lighting of public spaces,Gram Sabha Bisakapura me Hanuman Mandir ke pas Purab taraf,Uttar Pradesh,BHADOHI,DISTRICT MAGISTRATE BHADOHI,VINOD KUMAR BIND,BHADOHI,True,2026-03-13,118971.0
5426,Normal/Others,WS/MP18380/2024-2025/151912,Lighting of public spaces,Gram Sabha Kainda me Rod par Tirahe ke pahale,Uttar Pradesh,BHADOHI,DISTRICT MAGISTRATE BHADOHI,VINOD KUMAR BIND,BHADOHI,True,2026-03-13,118971.0
5427,Normal/Others,WS/MP18380/2024-2025/151913,Lighting of public spaces,Gram Sabha Bankat me Badeshwarnath Mandir ke pas,Uttar Pradesh,BHADOHI,DISTRICT MAGISTRATE BHADOHI,VINOD KUMAR BIND,BHADOHI,True,2026-03-13,118971.0
5428,Normal/Others,WS/MP18380/2024-2025/151914,Lighting of public spaces,Gram Sabha Dangahar me Shankar ji ke mandir ke pas,Uttar Pradesh,BHADOHI,DISTRICT MAGISTRATE BHADOHI,VINOD KUMAR BIND,BHADOHI,True,2026-03-13,118971.0
5429,Normal/Others,WS/MP18380/2024-2025/151915,Lighting of public spaces,Gram Sabha Saroi me Deeh Mandir ke Bagal me,Uttar Pradesh,BHADOHI,DISTRICT MAGISTRATE BHADOHI,VINOD KUMAR BIND,BHADOHI,True,2026-01-09,118971.0
5430,Normal/Others,WS/MP18380/2024-2025/151916,Lighting of public spaces,Ward Nu 11 Bhadohi  me Prajapatipur Kailashnath mishra ke ghar ke pas,Uttar Pradesh,BHADOHI,DISTRICT MAGISTRATE BHADOHI,VINOD KUMAR BIND,BHADOHI,True,2026-01-09,118971.0
5431,Normal/Others,WS/MP18183/2024-2025/175707,Construction of community centers and community halls,Construction of a new multipurpose building in Thoppuvudi Panchayat New Street,Tamil Nadu,THANJAVUR,DISTRICT COLLECTOR THANJAVUR,MURASOLI S,THANJAVUR,True,2026-01-28,1349408.0
5432,Normal/Others,WS/MP18173/2024-2025/139195,Construction of buildings for community cultural activities,Construction of Drama Stage at Kilkaranai Village in Purangarai Panchayat,Tamil Nadu,Viluppuram,DISTRICT COLLECTOR VILLUPURAM,THARANIVENTHAN M S,ARANI,True,2025-07-29,699835.0
5433,Normal/Others,WS/MP499/2024-2025/172668,Construction of rooms and halls in school and colleges,"Construction of Cultral Stage, Nischintapur Madhyamik Vidyalaya (H.S) P.o- Rampurhat, Rampurhat",West Bengal,BIRBHUM,DISTRICT MAGISTRATE BIRBHUM,Smt Satabdi Roy (Banerjee),BIRBHUM,True,2025-11-18,298766.0
5434,Normal/Others,WS/MP18359/2024-2025/169600,"Construction of roads, link roads, pathways or any other road with or without drainage system",Block Garhmukteshwar ke gram Hiranpura mein Jalim Singh ke Makan se saudan Singh ke Makan ki aur 109 meter CC road evam nali Nirman (Implement Agency RED Hapur),Uttar Pradesh,HAPUR,DISTRICT MAGISTRATE HAPUR,KANWAR SINGH TANWAR,AMROHA,False,2025-08-06,836704.0
5435,Normal/Others,WS/MP18137/2024-2025/157430,Construction of rooms and halls in school and colleges,Construction of additional Classrooms for Lumshyiap Secondary School,Meghalaya,EAST KHASI HILLS,"Deputy Commissioner, East Khasi Hills District",ANDREW J. SYNGKON,SHILLONG,False,2025-09-01,500000.0
5436,Normal/Others,WS/MP18359/2024-2025/169601,"Construction of roads, link roads, pathways or any other road with or without drainage system",Block Simbhawali ke gram Chhatanora mein mukhya Marg se Vikram Pradhan Ji ke Makan ki aur 63 meter CC road evam nali Nirman (Implement Agency RED Hapur),Uttar Pradesh,HAPUR,DISTRICT MAGISTRATE HAPUR,KANWAR SINGH TANWAR,AMROHA,True,2025-08-08,488885.0
5437,Normal/Others,WS/MP859/2024-2025/150951,Street lights,"FOR SUPPLY DELIVERY &ERECTION & COMMISSIONING OF 4 NO 9 MTR OCTAGONAL HIGH MAST TOWER 6 X 150 WATT LED LIGHT SYSTEM WITH DUAL CHANNEL 24 HR / TWILIGHT TIMER OPERATION TIMER OPERATION FOR HOOGHLY DISTRICT (EXCLUDING SERVICE CONNECTION CHARGE)  AT  1)BARPARA SHIB MANDIR , 2) PASCHIMPARA BATTALA, 3) JANGALPARA SANTI MANDIR,  4) JAGORANI SANGHA UNDER KRISHNAPUR G.P ,  CHANDITALA- I PANCHAYAT SAMITI, DIST - HOOGHLY",West Bengal,HOOGHLY,DISTRICT MAGISTRATE HOOGHLY,Kalyan Banerjee,SREERAMPUR,True,2025-06-20,595489.0
5438,Normal/Others,WS/MP18359/2024-2025/169604,"Construction of roads, link roads, pathways or any other road with or without drainage system",Block Simbhawali ke gram Birsinghpur mein Satyendra ke Makan Se Rajvahe ki aur 70 meter CC road evam nali Nirman,Uttar Pradesh,HAPUR,DISTRICT MAGISTRATE HAPUR,KANWAR SINGH TANWAR,AMROHA,True,2025-08-08,794603.0
5439,Normal/Others,WS/MP18359/2024-2025/169605,"Construction of roads, link roads, pathways or any other road with or without drainage system",Block Simbhawali ke gram Birsinghpur mein Rajvahe se Mata Mandir ki aur 50 meter CC road evam nali Nirman (Implement Agency RED Hapur),Uttar Pradesh,HAPUR,DISTRICT MAGISTRATE HAPUR,KANWAR SINGH TANWAR,AMROHA,True,2025-08-08,785062.0
5440,Normal/Others,WS/MP18359/2024-2025/169607,"Construction of roads, link roads, pathways or any other road with or without drainage system",Block Simbhawali ke gram  Harnathpur Kota mein mukhya marag se Chandravansh ke Makan ki or 85 meter CC road evam nali Nirman (Implement Agency RED Hapur),Uttar Pradesh,HAPUR,DISTRICT MAGISTRATE HAPUR,KANWAR SINGH TANWAR,AMROHA,True,2025-08-08,939723.0
5441,Trust and Society,WS/MP18219/2025-2026/153100,Construction of rooms and halls in school and colleges,BRAHMANAND EDUCATION ACADEMY INTER COLLEGE SRINAGAR BHAWAAN NIRMAAN HETU...,Uttar Pradesh,MAHOBA,DISTRICT MAGISTRAE MAHOBA,AJENDRA SINGH LODHI,HAMIRPUR_UP,True,2025-09-19,2000000.0
5442,Normal/Others,WS/MP18205/2024-2025/148391,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of Interlocking Road In Gram Panchayat Mudadeeh, From Mahanth Pandey’s Aara Machine To Krishnamohan Ojha House – 100 mtr Revised Letter Attached",Uttar Pradesh,BALLIA,DISTRICT MAGISTRAE BALLIA,SANATAN PANDEY,BALLIA,False,2025-09-23,499122.0
5443,Normal/Others,WS/MP18205/2024-2025/148385,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of Interlocking Road In Gram Panchayat Karnai, From Shri Badri Tiwari house to Shri Hridayeshwar Nath Mandir/ Parshuram Mandir – 200 mtr Revised Letter Attached",Uttar Pradesh,BALLIA,DISTRICT MAGISTRAE BALLIA,SANATAN PANDEY,BALLIA,False,2025-09-10,999067.0
5444,Normal/Others,WS/MP859/2024-2025/150248,Street lights,"SUPPLY DELIVERY &ERECTION & COMMISSIONING OF 4 NO 9 MTR OCTAGONAL HIGH MAST TOWER 6 X 150 WATT LED LIGHT SYSTEM WITH DUAL CHANNEL 24 HR / TWILIGHT TIMER OPERATION TIMER OPERATION FOR HOOGHLY DISTRICT (EXCLUDING SERVICE CONNECTION CHARGE)  AT  1)MASHAT PLAY GRAUND UNDER ANIYA G.P.  2) BONOMALIPUR RATHTALA UNDER MASHAT G.P.  3) AUSBALI CHARAK PUKUR UNDER MASHAT G.P  4) MASHAT BAROWARI TALA UNDER MASHAT G.P CHANDITALA- I PANCHAYAT SAMITI, DIST - HOOGHLY",West Bengal,HOOGHLY,DISTRICT MAGISTRATE HOOGHLY,Kalyan Banerjee,SREERAMPUR,True,2025-06-20,589208.0
5445,Normal/Others,WS/MP423/2024-2025/137567,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of CC Road with Gaurdwall from Uttar Laskar Para Night Rose Club to H/O Mintu Laskar. (215 mtr.),West Bengal,South 24 Parganas,DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS,Shri Abhishek Banerjee,DIAMOND HARBOUR,True,2025-07-31,708547.0
5446,Normal/Others,WS/MP650/2024-2025/163151,Installing tube-wells and borewells,"Motor pump installation work with tube well mining for public use, including recharge pit, in Bijasan Colony ward-6 Vidhansabha indore-1",Madhya Pradesh,INDORE,DISTRICT COLLECTOR INDORE,Shankar Lalwani,INDORE,True,2025-08-25,420346.0
5447,Normal/Others,WS/MP579/2024-2025/162800,"Construction of roads, link roads, pathways or any other road with or without drainage system",Talav Na Amin Kanthe thi Mohan Abhesingna Ghar sudhi C.C Road nu Kam,Gujarat,ANAND,District Collector ANAND,Mitesh Rameshbhai Bakabhai Patel,ANAND,False,2025-07-04,100000.0
5448,Normal/Others,WS/MP579/2024-2025/162834,"Construction of roads, link roads, pathways or any other road with or without drainage system",Sundara Gam Na Pravesh Dhwar Pachi Gam toran Mata Vaherai Nu Mandir Ane Chowk Vistarma C.C. Road nu Kam,Gujarat,ANAND,District Collector ANAND,Mitesh Rameshbhai Bakabhai Patel,ANAND,False,2025-07-04,499000.0
5449,Normal/Others,WS/MP18377/2024-2025/161030,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,GRAM PANCHAYAT MANSOORGANJ ME SHAMSHAN BHUMI PAR 1 SHAVDAH SHED KA NIRMAN,Uttar Pradesh,BAREILLY,DISTRICT MAGISTRAE BAREILLY,CHHATRA PAL SINGH GANGWAR,BAREILLY,False,2025-11-19,347455.0
5450,Normal/Others,WS/MP18377/2024-2025/161022,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,GRAM PANCHAYAT KABRA KISHANPUR ME SHAMSHAN BHUMI PAR 1 SHAVDAH SHED KA NIRMAN,Uttar Pradesh,BAREILLY,DISTRICT MAGISTRAE BAREILLY,CHHATRA PAL SINGH GANGWAR,BAREILLY,False,2025-10-09,346819.0
5451,Normal/Others,WS/MP584/2025-2026/158880,Construction of common work sheds/ common covered sitting area,Mundra Talukana Bhadresar gaame anusuchit jaati vistar maheshwari samajvadi paase karigar koman workshed,Gujarat,KACHCHH,DISTRICT COLLECTOR KUTCH,Vinod Chavda,KACHCHH(SC),True,2025-05-07,350000.0
5452,Normal/Others,WS/MP18272/2024-2025/165991,Construction of rooms and halls in school and colleges,"Construction of Additional Class Rooms of Banpura Taraknath High School (H.S.) under Sankrail P.S., Dist. Jhargram",West Bengal,Jhargram,DISTRICT MAGISTRATE JHARGRAM,KALIPADA SAREN,JHARGRAM(ST),False,2025-10-14,2999891.0
5453,Normal/Others,WS/MP18355/2025-2026/158394,Installing tube-wells and borewells,"Installation of New bore well with Motor, Pump and other spare parts at Ward No.08, Kodigehalli limits",Karnataka,BENGALURU URBAN,DEPUTY COMMISSIONER BANGALORE URBAN,SHOBHA KARANDLAJE,BANGALORE NORTH,True,2025-09-16,600000.0
5454,Normal/Others,WS/MP356/2024-2025/137822,Purchase Books for Library,PURCHASE OF BOOKS IN SCHOOL LIBRARY,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5455,Normal/Others,WS/MP18355/2025-2026/158395,Installing tube-wells and borewells,"Installation of New bore well with Motor, Pump and other spare parts at Ward No.05, Kogilu area limits",Karnataka,BENGALURU URBAN,DEPUTY COMMISSIONER BANGALORE URBAN,SHOBHA KARANDLAJE,BANGALORE NORTH,True,2025-09-16,600000.0
5456,Normal/Others,WS/MP356/2024-2025/137823,Purchase Books for Library,PURCHASE OF BOOKS IN SCHOOL LIBRARY,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5457,Normal/Others,WS/MP356/2024-2025/137824,Purchase Books for Library,PURCHASE OF BOOKS IN SCHOOL LIBRARY,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5458,Normal/Others,WS/MP356/2024-2025/137825,Purchase Books for Library,PURCHASE OF BOOKS IN SCHOOL LIBRARY,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5459,Normal/Others,WS/MP356/2024-2025/137826,Purchase Books for Library,PURCHASE OF BOOKS IN SCHOOL LIBRARY,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5460,Normal/Others,WS/MP356/2024-2025/137827,Purchase Books for Library,PURCHASE OF BOOKS IN SCHOOL LIBRARY,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5461,Normal/Others,WS/MP356/2024-2025/137828,Purchase Books for Library,PURCHASE OF BOOKS IN HSS GIRLS SCHOOL LIBRARY BHANPURA,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5462,Normal/Others,WS/MP356/2024-2025/137829,Purchase Books for Library,PURCHASE OF BOOKS,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5463,Normal/Others,WS/MP356/2024-2025/137830,Purchase Books for Library,PURCHASE FOR BOOKS,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5464,Normal/Others,WS/MP356/2024-2025/137831,Purchase Books for Library,PURCHASE OF BOOK,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5465,Normal/Others,WS/MP356/2024-2025/137832,Purchase Books for Library,PURCHASE OF BOOK,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5466,Normal/Others,WS/MP356/2024-2025/137833,Purchase Books for Library,PURCHASE OF BOOK,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5467,Normal/Others,WS/MP356/2024-2025/137834,Purchase Books for Library,PURCHASE OF BOOK,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5468,Normal/Others,WS/MP356/2024-2025/137835,Purchase Books for Library,PURCHASE OF BOOK,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5469,Normal/Others,WS/MP356/2024-2025/137836,Purchase Books for Library,PURCHASE OF BOOKS,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5470,Normal/Others,WS/MP356/2024-2025/137837,Purchase Books for Library,PURCHASE OF BOOKS,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5471,Normal/Others,WS/MP356/2024-2025/137838,Purchase Books for Library,PURCHASE OF BOOKS,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5472,Normal/Others,WS/MP356/2024-2025/137839,Purchase Books for Library,PURCHASE OF BOOKS,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5473,Normal/Others,WS/MP18355/2025-2026/158400,Construction of buildings for community cultural activities,Construction of Gazebo for Senior Citizens at Amruthahalli limits - Ward No.07,Karnataka,BENGALURU URBAN,DEPUTY COMMISSIONER BANGALORE URBAN,SHOBHA KARANDLAJE,BANGALORE NORTH,True,2025-04-09,551186.0
5474,Normal/Others,WS/MP356/2024-2025/137840,Purchase Books for Library,PURCHASE OF BOOKS,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5475,Normal/Others,WS/MP356/2024-2025/137841,Purchase Books for Library,PURCHASE OF BOOKS,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5476,Normal/Others,WS/MP356/2024-2025/137842,Purchase Books for Library,PURCHASE OF BOOKS,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5477,Normal/Others,WS/MP356/2024-2025/137843,Purchase Books for Library,PURCHASE OF BOOKS & IN GHS & HS SCHOOL,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5478,Normal/Others,WS/MP356/2024-2025/137844,Purchase Books for Library,PURCHASE OF BOOK,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5479,Normal/Others,WS/MP356/2024-2025/137845,Purchase Books for Library,PURCHASE OF BOOK,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5480,Normal/Others,WS/MP356/2024-2025/137846,Purchase Books for Library,PURCHASE OF BOOK,Madhya Pradesh,MANDSAUR,DISTRICT COLLECTOR MANDSAUR,Shri Sudheer Gupta,MANDSOUR,True,2025-08-21,100000.0
5481,Normal/Others,WS/MP18335/2024-2025/151020,"Construction of roads, link roads, pathways or any other road with or without drainage system",CC road Construction,Chhattisgarh,JASHPUR,DISTRICT COLLECTOR JASHPUR,RADHE SHYAM RATHIYA,RAIGARH(ST),True,2026-03-09,500000.0
5482,Normal/Others,WS/MP319/2024-2025/155902,Lighting of public spaces,Pothia Prakhand Antargart Dubanochi Panchayat ke Kathkuwa Haat me (12M) High mast light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-09,649100.0
5483,Normal/Others,WS/MP319/2024-2025/155903,Lighting of public spaces,Pothia Prakhand Antargart Burhnai Panchayat ke Galgalia Pul Chowk me (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-09,649100.0
5484,Normal/Others,WS/MP319/2024-2025/155904,Lighting of public spaces,Pothia Prakhand Antargart Sitalpur Panchayat ke Baldiya Haat me (12M) High mast light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-09,649100.0
5485,Normal/Others,WS/MP319/2024-2025/155905,Lighting of public spaces,Pothia Prakhand Antargart Sitalpur Panchayat ke Khajurbari Chowk me (12M) High mast light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-09,649100.0
5486,Normal/Others,WS/MP319/2024-2025/155906,Lighting of public spaces,Pothia Prakhand Antargart Udgara Panchayat ke karwala Majar Chowk me (12M) High mast light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-09,649100.0
5487,Normal/Others,WS/MP319/2024-2025/155907,Lighting of public spaces,Pothia Prakhand Antargart Parlabari Panchayat ke Haldagaon Madarsa Chowk me (12M) High mast light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-09,649100.0
5488,Normal/Others,WS/MP319/2024-2025/155908,Lighting of public spaces,Kishanganj Prakhand Antargart Mothihara Taluka Panchayat ke Novaday Vidhalay Mens ke samne me (12M) High mast light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-09,649100.0
5489,Normal/Others,WS/MP319/2024-2025/155909,Lighting of public spaces,Kishanganj Prakhand Antargart Halamala Panchayat ke Odra Kali Mandir ke Samne me (12M) High mast light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-09,649100.0
5490,Normal/Others,WS/MP319/2024-2025/155929,Lighting of public spaces,Kishanganj Prakhand Antargart Pichhla Panchayat ke Mohammadpur Khankha me (12M) High mast light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-09,649100.0
5491,Normal/Others,WS/MP319/2024-2025/155931,Lighting of public spaces,Kishanganj Prakhand Antargart Teosa Panchayat ke Kelash Chowk me (12M) High mast light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5492,Normal/Others,WS/MP319/2024-2025/155933,Lighting of public spaces,Kishanganj Prakhand Antargart Daula Panchayat ke Kharibasti ward no 06 Janta Haat (12M) High mast light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5493,Normal/Others,WS/MP319/2024-2025/155934,Lighting of public spaces,Kishanganj Prakhand Antargart Chakla Panchayat ke Chakla Gaon ke Madarsa ke samne (12M) High mast light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5494,Normal/Others,WS/MP319/2024-2025/155935,Lighting of public spaces,Kishanganj Nagar Parisadh Chhetr Antargart Ward No 03 Anjuman Islamia Madarsa Kishanganj ke Samne (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5495,Normal/Others,WS/MP319/2024-2025/155936,Lighting of public spaces,Kishanganj Nagar Parisadh Chhetr Antargart Ward No 19 Samshan Ghat and Kali Mandir Parisar me (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5496,Normal/Others,WS/MP319/2024-2025/155938,Lighting of public spaces,Kishanganj Nagar Parisadh Chhetr Antargart Ward No 20 Jamia Aaysha Islamia Halim Chowk ke Pragan me (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5497,Normal/Others,WS/MP319/2024-2025/155939,Lighting of public spaces,Kishanganj Nagar Parisadh Chhetr Antargart Ward No 31 Hawai Adda ke Bartania Patti Chowk me (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5498,Normal/Others,WS/MP319/2024-2025/155940,Lighting of public spaces,Kishanganj Nagar Parisadh Chhetr Antargart Ward No 11 Kishanganj Gaosala ke Samne (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5499,Normal/Others,WS/MP319/2024-2025/156460,Lighting of public spaces,Kishanganj Nagar Parisadh Chhetra ke ward no 31 Pothia Dhekabhinja Masjid ke samne (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5500,Normal/Others,WS/MP319/2024-2025/156461,Lighting of public spaces,Kishanganj Nagar Parishad Chhetra ke ward no 31 Khagra Stadium Mor Mandir ke Pass (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5501,Normal/Others,WS/MP319/2024-2025/156462,Lighting of public spaces,Thakurganj Nagar Panchayat Chhetra ke ward no 11 Mohammad Hussain National Inter College get ke Samne (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5502,Normal/Others,WS/MP319/2024-2025/156463,Lighting of public spaces,Thakurganj Nagar Panchayat Chhetra ke ward no 09 Gandhi Maidan ke Millan Chai Dukan ke Piche (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5503,Normal/Others,WS/MP319/2024-2025/156464,Lighting of public spaces,Thakurganj Nagar Panchayat  ke ward no 12 Halka Kachari ke Samne (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5504,Normal/Others,WS/MP319/2024-2025/156465,Lighting of public spaces,Thakurganj Parkhand Antargart Bholmara Panchayat ke Saraikuri Haat me (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5505,Normal/Others,WS/MP319/2024-2025/156466,Lighting of public spaces,Thakurganj Parkhand Antargart Bhog Dabar Panchayat ke Kalvart chowk me (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5506,Normal/Others,WS/MP319/2024-2025/156468,Lighting of public spaces,Dighalbank Parkhand Antargart Singhimari Panchayat ke Kodhobari Thana Parisar Me (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5507,Normal/Others,WS/MP319/2024-2025/156469,Lighting of public spaces,Kochadhaman Parkhand Antargart Sontha Panchayat ke Puthimari Haat me (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5508,Normal/Others,WS/MP319/2024-2025/156470,Lighting of public spaces,Kochadhaman Parkhand Antargart Bualdah Panchayat ke Panchayat Bhawan ke Samne (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
5509,Normal/Others,WS/MP319/2024-2025/156471,Lighting of public spaces,Kochadhaman Parkhand Antargart Bagalbari Panchayat ke Chakandra Chowk me  (12M) High Mast Light,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,Dr Mohammad Jawed,KISHANGANJ,True,2025-04-10,649100.0
