Sr. No.,Work Category,Work ID,Work Type,Work Description,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Has Image,Completion Date,Amount Disbursed (INR)
52,Normal/Others,WS/MP777/2024-2025/135878,"Construction of roads, link roads, pathways or any other road with or without drainage system","Kakrala men Kinnu Prajapati ki dukan kea age se bahav ki gali ki ore interlocking & naali nirman kary , 76 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,995562.0
53,Normal/Others,WS/MP777/2024-2025/135882,"Construction of roads, link roads, pathways or any other road with or without drainage system","Noida ke Sarswati Kunj chipiyana urf Tigri men Manoj Dixit ke makaan se lekar nor mohammad ke makaan ki or interlocking & naali nirman kary, 100 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,997224.0
54,Normal/Others,WS/MP777/2024-2025/135881,"Construction of roads, link roads, pathways or any other road with or without drainage system","Kakrala colony men Suresh Gupta ke makan ke samne se rajvir ke farm house hote huye pawan singh ke makan tak interlocking & naali nirman kary, 90 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,998231.0
55,Normal/Others,WS/MP777/2024-2025/135880,"Construction of roads, link roads, pathways or any other road with or without drainage system","Kanawani men Deepak Nagar ke makaan se lekar mohit Sharma ke makaan ki or interlocking & naali kary, 92 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,998269.0
56,Normal/Others,WS/MP777/2024-2025/136650,"Construction of roads, link roads, pathways or any other road with or without drainage system","Main Girdharpur sampark marg chakki wali gali ki aur interlocking & naali nirmaan karya, 78 meter.",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,998160.0
57,Normal/Others,WS/MP777/2024-2025/136649,"Construction of roads, link roads, pathways or any other road with or without drainage system","Gram Kheda Dharampur mein madan ke ghar se lekar R G International school ki ore interlocking nali nirmaan karya, 90 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,786302.0
58,Normal/Others,WS/MP777/2024-2025/136654,"Construction of roads, link roads, pathways or any other road with or without drainage system","Kulesara ke Shiv enclave, greater Noida mein Shivkumar Se Aanchal Ke Makaan tak interlocking & Nalli nirman, 90 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,998123.0
59,Normal/Others,WS/MP777/2024-2025/136652,"Construction of roads, link roads, pathways or any other road with or without drainage system","Gram Dadupur katana me Mukhya Marg School primary school se lekar Naharpul ki ore se CC Road, Nirman karya, 65 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,998078.0
60,Normal/Others,WS/MP777/2024-2025/136651,"Construction of roads, link roads, pathways or any other road with or without drainage system","Sai Enclave Colony, Chipiyana Buzurg main Himanshu Upadhyay ke Makaan se lekar Harender Kumar ke Makaan ki ore interlocking & Nalli Nirman karya, 67 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,797062.0
61,Normal/Others,WS/MP777/2024-2025/136657,"Construction of roads, link roads, pathways or any other road with or without drainage system","Sidipur main Tatarpur NTPC Road se lekar Jitender Sharma Ke Makaan ki ore CC Road & nali nirman, 80 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,998346.0
