Sr. No.,Work Type,Work ID,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount (INR)
31353,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP568/2025-2026/215562,Chhattisgarh,DURG,DISTRICT COLLECTOR DURG,Vijay Baghel,DURG,2026-01-02,SARPANCH GRAM PANCHAYAT DOMA,Payment Success,350000.0
31354,Construction of community centers and community halls,WS/MP568/2025-2026/215569,Chhattisgarh,DURG,DISTRICT COLLECTOR DURG,Vijay Baghel,DURG,2025-09-02,SARPANCH GRAM PANCHAYAT ACHHOLI,Payment Success,500000.0
31355,Construction of buildings for community cultural activities,WS/MP18022/2025-2026/171198,Assam,DIBRUGARH,DEPUTY COMMISSIONER DIBRUGARH,Shri Sarbananda Sonowal (18LS),DIBRUGARH,2025-08-22,K Cement House,Payment Success,497608.0
31356,Construction of buildings for community cultural activities,WS/MP18022/2025-2026/171198,Assam,DIBRUGARH,DEPUTY COMMISSIONER DIBRUGARH,Shri Sarbananda Sonowal (18LS),DIBRUGARH,2025-12-06,K Cement House,Payment Success,376528.0
31357,Construction of buildings for community cultural activities,WS/MP18022/2025-2026/171198,Assam,DIBRUGARH,DEPUTY COMMISSIONER DIBRUGARH,Shri Sarbananda Sonowal (18LS),DIBRUGARH,2025-12-06,K Cement House,Payment Success,125000.0
31358,Forest conservation infrastructure,WS/MP18423/2025-2026/180041,Kerala,WAYANAD,DISTRICT COLLECTOR WAYANAD,Priyanka Gandhi Vadra,WAYANAD,2025-10-27,CHIEF EXECUTIVE OFFICER,Payment Success,166685.0
31359,Forest conservation infrastructure,WS/MP18423/2025-2026/180041,Kerala,WAYANAD,DISTRICT COLLECTOR WAYANAD,Priyanka Gandhi Vadra,WAYANAD,2026-05-25,CHIEF EXECUTIVE OFFICER,Payment Success,26720.0
31360,Fitting of Sitting RCC Benches in Public Places,WS/MP021/2025-2026/174495,Uttarakhand,NAINITAL,DISTRICT MAGISTRATE NAINITAL,Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,2025-08-29,kumaon traders,Payment Success,61623.0
31361,Security gates in streets/public place for safety purpose,WS/MP021/2025-2026/242766,Uttarakhand,NAINITAL,DISTRICT MAGISTRATE NAINITAL,Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,2026-07-17,kumaon traders,Payment Success,26485.0
31362,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",WS/MP18353/2024-2025/138639,West Bengal,HOOGHLY,DISTRICT MAGISTRATE HOOGHLY,RACHNA BANERJEE,HOOGHLY,2025-09-10,KALIMATA BUILDERS,Payment Success,1458765.0
31363,Improvement of electricity distribution infrastructure,WS/MP18098/2025-2026/198911,Madhya Pradesh,BALAGHAT,DISTRICT COLLECTOR BALAGHAT,BHARTI PARDHI,BALAGHAT,2025-12-31,KISHORE KUMAR BISEN,Payment Success,618024.0
31364,Improvement of electricity distribution infrastructure,WS/MP18098/2025-2026/169240,Madhya Pradesh,SEONI,District Collector Seoni,BHARTI PARDHI,BALAGHAT,2025-09-12,KISHORE KUMAR BISEN,Payment Success,337986.0
31365,Improvement of electricity distribution infrastructure,WS/MP18098/2025-2026/169240,Madhya Pradesh,SEONI,District Collector Seoni,BHARTI PARDHI,BALAGHAT,2025-09-12,KISHORE KUMAR BISEN,Payment Success,662014.0
31366,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18049/2025-2026/181645,Chhattisgarh,BILASPUR,DISTRICT COLLECTOR BILASPUR,TOKHAN SAHU,BILASPUR,2026-02-02,GRAM PANCHAYAT SALHAIYA S B M,Payment Success,249700.0
31367,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18049/2025-2026/181645,Chhattisgarh,BILASPUR,DISTRICT COLLECTOR BILASPUR,TOKHAN SAHU,BILASPUR,2025-09-10,GRAM PANCHAYAT SALHAIYA S B M,Payment Success,250000.0
31368,Construction of footpaths and pedestrian ways,WS/MP18099/2024-2025/175434,Madhya Pradesh,BHOPAL,DISTRICT COLLECTOR BHOPAL,ALOK SHARMA,BHOPAL,2025-08-20,aashi construction and supplier,Payment Success,954936.0
